No,Type,Threat_type,Itype,Status,Value,Severity,IOC_type,ThreatScore,Created_ts,Organization,Confidence,Source_reported_confidence
83,ip,spam,spam_ip,active,171.241.15.108,low,gov,25,2021-03-21,Viettel Group,97,60
84,ip,spam,spam_ip,active,27.3.200.202,low,gov,22,2021-03-21,SaiGon Tourist cable Televition Company,88,60
85,ip,spam,spam_ip,active,14.243.78.93,low,gov,23,2021-03-21,Vietnam Posts and Telecommunications(VNPT),92,60
86,ip,spam,spam_ip,active,14.248.135.190,low,gov,23,2021-03-21,Vietnam Posts and Telecommunications(VNPT),91,60
87,ip,spam,spam_ip,active,14.169.92.17,low,gov,21,2021-03-21,Vietnam Posts and Telecommunications(VNPT),83,60
88,ip,spam,spam_ip,active,113.181.14.120,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),80,60
89,ip,spam,spam_ip,active,14.244.154.224,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),93,60
90,ip,spam,spam_ip,active,171.252.155.33,low,gov,22,2021-03-21,Viettel Group,87,60
91,ip,spam,spam_ip,active,123.27.202.103,low,gov,19,2021-03-21,Vietnam Posts and Telecommunications(VNPT),76,60
92,ip,spam,spam_ip,active,171.233.200.74,low,gov,11,2021-03-21,Viettel Group,44,60
93,ip,spam,spam_ip,active,116.96.160.25,low,gov,24,2021-03-21,Viettel Group,95,60
94,ip,spam,spam_ip,active,14.226.250.77,low,gov,21,2021-03-21,Vietnam Posts and Telecommunications(VNPT),81,60
95,ip,spam,spam_ip,active,58.186.59.12,low,gov,25,2021-03-21,FPT Telecom Company,99,60
96,ip,spam,spam_ip,active,113.174.232.200,low,gov,18,2021-03-21,Vietnam Posts and Telecommunications(VNPT),69,60
97,ip,spam,spam_ip,active,113.23.43.111,low,gov,23,2021-03-21,FPT Telecom Company,90,60
98,ip,spam,spam_ip,active,113.166.231.73,low,gov,18,2021-03-21,Vietnam Posts and Telecommunications(VNPT),69,60
99,ip,spam,spam_ip,active,171.251.236.78,low,gov,25,2021-03-21,Viettel Group,100,60
100,ip,spam,spam_ip,active,27.71.82.74,low,gov,24,2021-03-21,Viettel Group,93,60
101,ip,spam,spam_ip,active,171.252.170.82,low,gov,25,2021-03-21,Viettel Group,100,60
102,ip,spam,spam_ip,active,115.77.219.249,low,gov,8,2021-03-21,Viettel Group,29,60
103,ip,spam,spam_ip,active,117.2.239.115,low,gov,25,2021-03-21,Viettel Group,99,60
104,ip,spam,spam_ip,active,27.73.104.237,low,gov,25,2021-03-21,Viettel Group,97,60
105,ip,spam,spam_ip,active,103.238.83.150,low,gov,22,2021-03-21,Cloudone Technology Company Limited,85,60
106,ip,spam,spam_ip,active,171.241.192.233,low,gov,22,2021-03-21,Viettel Group,86,60
107,ip,spam,spam_ip,active,27.78.115.189,low,gov,22,2021-03-21,Viettel Group,87,60
108,ip,spam,spam_ip,active,42.114.151.14,low,gov,25,2021-03-21,FPT Telecom Company,99,60
109,ip,spam,spam_ip,active,1.53.199.135,low,gov,19,2021-03-21,FPT Telecom Company,76,60
110,ip,spam,spam_ip,active,14.188.182.90,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),99,60
111,ip,spam,spam_ip,active,14.249.80.77,low,gov,19,2021-03-21,Vietnam Posts And Telecommunications Group,76,60
112,ip,spam,spam_ip,active,123.21.251.121,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
113,ip,spam,spam_ip,active,42.116.190.13,low,gov,25,2021-03-21,FPT Telecom Company,99,60
114,ip,spam,spam_ip,active,58.186.62.191,low,gov,25,2021-03-21,FPT Telecom Company,99,60
115,ip,spam,spam_ip,active,42.113.159.96,low,gov,25,2021-03-21,FPT Telecom Company,98,60
116,ip,spam,spam_ip,active,14.250.54.91,low,gov,13,2021-03-21,Vietnam Posts And Telecommunications Group,50,60
117,ip,spam,spam_ip,active,113.163.5.87,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
118,ip,spam,spam_ip,active,14.181.44.137,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),96,60
119,ip,spam,spam_ip,active,14.255.15.50,low,gov,7,2021-03-21,Vietnam Posts And Telecommunications Group,28,60
120,ip,spam,spam_ip,active,118.71.78.21,low,gov,25,2021-03-21,FPT Telecom Company,98,60
121,ip,spam,spam_ip,active,27.71.82.35,low,gov,24,2021-03-21,Viettel Group,93,60
122,ip,spam,spam_ip,active,42.116.149.248,low,gov,25,2021-03-21,FPT Telecom Company,99,60
123,ip,spam,spam_ip,active,115.72.77.9,low,gov,25,2021-03-21,Viettel Group,98,60
124,ip,spam,spam_ip,active,42.118.55.254,low,gov,25,2021-03-21,FPT Telecom Company,99,60
125,ip,spam,spam_ip,active,123.24.67.82,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
126,ip,spam,spam_ip,active,59.153.253.50,low,gov,24,2021-03-21,MOBIFONE Corporation,96,60
127,ip,spam,spam_ip,active,115.75.243.251,low,gov,22,2021-03-21,Viettel Group,87,60
128,ip,spam,spam_ip,active,14.251.66.120,low,gov,18,2021-03-21,Vietnam Posts And Telecommunications Group,71,60
129,ip,spam,spam_ip,active,123.16.128.77,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
130,ip,spam,spam_ip,active,115.79.238.75,low,gov,23,2021-03-21,Viettel Group,90,60
131,ip,spam,spam_ip,active,125.235.227.148,low,gov,22,2021-03-21,Viettel Group,85,60
132,ip,spam,spam_ip,active,27.66.217.96,low,gov,25,2021-03-21,Viettel Group,100,60
133,ip,spam,spam_ip,active,171.244.76.44,low,gov,25,2021-03-21,Viettel Group,98,60
134,ip,spam,spam_ip,active,171.228.223.158,low,gov,25,2021-03-21,Viettel Group,100,60
135,ip,spam,spam_ip,active,14.228.184.107,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),96,60
136,ip,spam,spam_ip,active,42.113.203.73,low,gov,25,2021-03-21,FPT Telecom Company,99,60
137,ip,spam,spam_ip,active,222.254.9.111,low,gov,18,2021-03-21,Vietnam Posts and Telecommunications(VNPT),71,60
138,ip,spam,spam_ip,active,14.186.5.167,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),100,60
139,ip,spam,spam_ip,active,14.252.155.192,low,gov,22,2021-03-21,Vietnam Posts And Telecommunications Group,88,60
140,ip,spam,spam_ip,active,123.28.113.208,low,gov,18,2021-03-21,Vietnam Posts and Telecommunications(VNPT),69,60
141,ip,spam,spam_ip,active,171.251.235.61,low,gov,21,2021-03-21,Viettel Group,84,60
142,ip,spam,spam_ip,active,113.173.85.168,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),100,60
143,ip,spam,spam_ip,active,27.79.165.140,low,gov,25,2021-03-21,Viettel Group,97,60
144,ip,spam,spam_ip,active,125.235.236.216,low,gov,25,2021-03-21,Viettel Group,100,60
145,ip,spam,spam_ip,active,14.177.114.169,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
146,ip,spam,spam_ip,active,123.21.140.21,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
147,ip,spam,spam_ip,active,14.162.18.208,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
148,ip,spam,spam_ip,active,113.186.142.64,low,gov,17,2021-03-21,Vietnam Posts and Telecommunications(VNPT),66,60
149,ip,spam,spam_ip,active,123.20.49.143,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
150,ip,spam,spam_ip,active,1.53.208.217,low,gov,25,2021-03-21,FPT Telecom Company,97,60
151,ip,spam,spam_ip,active,14.234.90.234,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),78,60
152,ip,spam,spam_ip,active,1.55.1.50,low,gov,25,2021-03-21,FPT Telecom Company,99,60
153,ip,spam,spam_ip,active,113.174.162.51,low,gov,16,2021-03-21,Vietnam Posts and Telecommunications(VNPT),64,60
154,ip,spam,spam_ip,active,1.54.4.77,low,gov,25,2021-03-21,FPT Telecom Company,99,60
155,ip,spam,spam_ip,active,113.187.181.172,low,gov,24,2021-03-21,Vietnam Posts And Telecommunications Group,94,60
156,ip,spam,spam_ip,active,27.66.73.164,low,gov,25,2021-03-21,Viettel Group,100,60
157,ip,spam,spam_ip,active,1.52.235.254,low,gov,25,2021-03-21,FPT Telecom Company,99,60
158,ip,spam,spam_ip,active,14.249.147.145,low,gov,18,2021-03-21,Vietnam Posts And Telecommunications Group,72,60
159,ip,spam,spam_ip,active,115.75.239.76,low,gov,22,2021-03-21,Viettel Group,87,60
160,ip,spam,spam_ip,active,125.212.157.183,low,gov,24,2021-03-21,Viettel Corporation,95,60
161,ip,spam,spam_ip,active,123.16.243.222,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
162,ip,spam,spam_ip,active,123.20.216.42,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),98,60
163,ip,spam,spam_ip,active,113.167.120.203,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),80,60
164,ip,spam,spam_ip,active,171.242.99.19,low,gov,25,2021-03-21,Viettel Group,100,60
165,ip,spam,spam_ip,active,1.53.8.200,low,gov,22,2021-03-21,FPT Telecom Company,88,60
166,ip,spam,spam_ip,active,113.172.171.134,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),96,60
167,ip,spam,spam_ip,active,171.236.130.22,low,gov,25,2021-03-21,Viettel Group,97,60
168,ip,spam,spam_ip,active,222.252.107.231,low,gov,16,2021-03-21,Vietnam Posts and Telecommunications(VNPT),63,60
169,ip,spam,spam_ip,active,14.167.236.60,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
170,ip,spam,spam_ip,active,14.177.160.185,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
171,ip,spam,spam_ip,active,117.7.150.186,low,gov,24,2021-03-21,Viettel Group,95,60
172,ip,spam,spam_ip,active,113.178.32.186,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
173,ip,spam,spam_ip,active,123.22.246.245,low,gov,16,2021-03-21,Vietnam Posts and Telecommunications(VNPT),61,60
174,ip,spam,spam_ip,active,103.207.38.190,low,gov,21,2021-03-21,Vietnam Posts and Telecommunications(VNPT),83,60
175,ip,spam,spam_ip,active,14.248.196.136,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
176,ip,spam,spam_ip,active,123.27.240.36,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),80,60
177,ip,spam,spam_ip,active,116.106.51.99,low,gov,25,2021-03-21,Viettel Corporation,97,60
178,ip,spam,spam_ip,active,171.224.207.216,low,gov,25,2021-03-21,Viettel Group,100,60
179,ip,spam,spam_ip,active,118.70.13.225,low,gov,15,2021-03-21,FPT Telecom Company,57,60
180,ip,spam,spam_ip,active,116.96.78.14,low,gov,25,2021-03-21,Viettel Group,98,60
181,ip,spam,spam_ip,active,113.185.75.195,low,gov,22,2021-03-21,Vietnam Posts And Telecommunications Group,86,60
182,ip,spam,spam_ip,active,42.114.162.241,low,gov,25,2021-03-21,FPT Telecom Company,99,60
183,ip,spam,spam_ip,active,1.55.180.80,low,gov,25,2021-03-21,FPT Telecom Company,99,60
184,ip,spam,spam_ip,active,27.64.205.99,low,gov,22,2021-03-21,Viettel Group,87,60
185,ip,spam,spam_ip,active,123.16.114.103,low,gov,21,2021-03-21,Vietnam Posts and Telecommunications(VNPT),83,60
186,ip,spam,spam_ip,active,171.241.43.191,low,gov,25,2021-03-21,Viettel Group,97,60
187,ip,spam,spam_ip,active,14.180.143.203,low,gov,19,2021-03-21,Vietnam Posts And Telecommunications Group,76,60
188,ip,spam,spam_ip,active,42.113.220.142,low,gov,25,2021-03-21,FPT Telecom Company,99,60
189,ip,spam,spam_ip,active,113.188.50.68,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),96,60
190,ip,spam,spam_ip,active,103.155.82.111,low,gov,25,2021-03-21,,100,60
191,ip,spam,spam_ip,active,14.176.37.226,low,gov,13,2021-03-21,Vietnam Posts and Telecommunications(VNPT),50,60
192,ip,spam,spam_ip,active,42.118.219.20,low,gov,25,2021-03-21,FPT Telecom Company,99,60
193,ip,spam,spam_ip,active,1.52.36.98,low,gov,20,2021-03-21,FPT Telecom,80,60
194,ip,spam,spam_ip,active,1.55.43.100,low,gov,25,2021-03-21,FPT Telecom Company,99,60
195,ip,spam,spam_ip,active,123.28.119.243,low,gov,17,2021-03-21,Vietnam Posts and Telecommunications(VNPT),67,60
196,ip,spam,spam_ip,active,113.180.81.214,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
197,ip,spam,spam_ip,active,123.17.119.37,low,gov,23,2021-03-21,Vietnam Posts and Telecommunications(VNPT),91,60
198,ip,spam,spam_ip,active,116.99.130.142,low,gov,25,2021-03-21,Viettel Corporation,100,60
199,ip,spam,spam_ip,active,42.112.157.173,low,gov,25,2021-03-21,FPT Telecom Company,99,60
200,ip,spam,spam_ip,active,116.103.18.55,low,gov,25,2021-03-21,Viettel Corporation,100,60
201,ip,spam,spam_ip,active,113.165.103.91,low,gov,19,2021-03-21,Vietnam Posts and Telecommunications(VNPT),76,60
202,ip,spam,spam_ip,active,42.119.97.64,low,gov,25,2021-03-21,FPT Telecom Company,100,60
203,ip,spam,spam_ip,active,171.224.5.134,low,gov,25,2021-03-21,Viettel Group,97,60
204,ip,spam,spam_ip,active,171.240.62.239,low,gov,25,2021-03-21,Viettel Group,98,60
205,ip,spam,spam_ip,active,14.184.47.36,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),86,60
206,ip,spam,spam_ip,active,14.186.224.224,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),99,60
207,ip,spam,spam_ip,active,14.232.236.164,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),99,60
208,ip,spam,spam_ip,active,14.248.153.102,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
209,ip,spam,spam_ip,active,171.241.15.223,low,gov,19,2021-03-21,Viettel Group,73,60
210,ip,spam,spam_ip,active,113.172.214.93,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
211,ip,spam,spam_ip,active,117.5.156.209,low,gov,25,2021-03-21,Viettel Group,100,60
212,ip,spam,spam_ip,active,117.3.150.38,low,gov,25,2021-03-21,Viettel Group,100,60
213,ip,spam,spam_ip,active,14.181.212.182,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
214,ip,spam,spam_ip,active,116.97.41.25,low,gov,24,2021-03-21,Viettel Group,96,60
215,ip,spam,spam_ip,active,14.186.41.83,low,gov,18,2021-03-21,Vietnam Posts and Telecommunications(VNPT),71,60
216,ip,spam,spam_ip,active,113.166.243.226,low,gov,23,2021-03-21,Vietnam Posts and Telecommunications(VNPT),89,60
217,ip,spam,spam_ip,active,14.244.101.162,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
218,ip,spam,spam_ip,active,14.164.131.115,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
219,ip,spam,spam_ip,active,123.20.215.85,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),93,60
220,ip,spam,spam_ip,active,14.234.109.190,low,gov,18,2021-03-21,Vietnam Posts and Telecommunications(VNPT),71,60
221,ip,spam,spam_ip,active,113.173.254.101,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
222,ip,spam,spam_ip,active,27.73.67.210,low,gov,24,2021-03-21,Viettel Group,94,60
223,ip,spam,spam_ip,active,14.177.223.247,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
224,ip,spam,spam_ip,active,222.253.154.61,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),95,60
225,ip,spam,spam_ip,active,171.242.31.75,low,gov,24,2021-03-21,Viettel Group,95,60
226,ip,spam,spam_ip,active,14.231.220.108,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
227,ip,spam,spam_ip,active,113.172.17.164,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
228,ip,spam,spam_ip,active,123.24.153.61,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
229,ip,spam,spam_ip,active,14.231.80.154,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
230,ip,spam,spam_ip,active,14.177.207.86,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
231,ip,spam,spam_ip,active,171.228.203.5,low,gov,25,2021-03-21,Viettel Group,100,60
232,ip,spam,spam_ip,active,27.73.163.201,low,gov,25,2021-03-21,Viettel Group,100,60
233,ip,spam,spam_ip,active,123.22.9.247,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),93,60
234,ip,spam,spam_ip,active,14.169.215.138,low,gov,8,2021-03-21,Vietnam Posts and Telecommunications(VNPT),32,60
235,ip,spam,spam_ip,active,14.162.185.78,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),96,60
236,ip,spam,spam_ip,active,116.118.60.216,low,gov,21,2021-03-21,Saigon Postel Corporation,84,60
237,ip,spam,spam_ip,active,116.111.12.194,low,gov,25,2021-03-21,Viettel Corporation,100,60
238,ip,spam,spam_ip,active,27.70.212.251,low,gov,14,2021-03-21,Viettel Group,55,60
239,ip,spam,spam_ip,active,113.172.240.83,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),100,60
240,ip,spam,spam_ip,active,116.107.255.69,low,gov,25,2021-03-21,Viettel Group,97,60
241,ip,spam,spam_ip,active,14.186.37.67,low,gov,21,2021-03-21,Vietnam Posts and Telecommunications(VNPT),81,60
242,ip,spam,spam_ip,active,117.1.117.34,low,gov,25,2021-03-21,Viettel Group,97,60
243,ip,spam,spam_ip,active,14.162.39.67,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
244,ip,spam,spam_ip,active,123.16.240.69,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
245,ip,spam,spam_ip,active,123.16.88.41,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),96,60
246,ip,spam,spam_ip,active,123.24.87.24,low,gov,21,2021-03-21,Vietnam Posts and Telecommunications(VNPT),81,60
247,ip,spam,spam_ip,active,103.99.3.17,low,gov,24,2021-03-21,Vpsonline,96,60
248,ip,spam,spam_ip,active,116.98.55.152,low,gov,24,2021-03-21,Viettel Corporation,95,60
249,ip,spam,spam_ip,active,45.122.233.76,low,gov,20,2021-03-21,CMC Telecom Infrastructure Company,80,60
250,ip,spam,spam_ip,active,27.71.109.84,low,gov,11,2021-03-21,Viettel Group,44,60
251,ip,spam,spam_ip,active,14.247.30.177,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
252,ip,spam,spam_ip,active,1.52.127.14,low,gov,21,2021-03-21,FPT Telecom Company,81,60
253,ip,spam,spam_ip,active,202.43.110.42,low,gov,17,2021-03-21,DTS Communication Technologies Corporation,66,60
254,ip,spam,spam_ip,active,117.0.90.149,low,gov,23,2021-03-21,Viettel Group,89,60
255,ip,spam,spam_ip,active,27.71.122.173,low,gov,25,2021-03-21,Viettel Group,100,60
256,ip,spam,spam_ip,active,113.160.150.74,low,gov,23,2021-03-21,Vietnam Posts and Telecommunications(VNPT),91,60
257,ip,spam,spam_ip,active,118.70.49.143,low,gov,25,2021-03-21,FPT Telecom Company,99,60
258,ip,spam,spam_ip,active,118.68.40.3,low,gov,19,2021-03-21,FPT Telecom Company,76,60
259,ip,spam,spam_ip,active,171.242.94.93,low,gov,24,2021-03-21,Viettel Group,95,60
260,ip,spam,spam_ip,active,1.54.129.20,low,gov,25,2021-03-21,FPT Telecom Company,98,60
261,ip,spam,spam_ip,active,222.252.53.217,low,gov,16,2021-03-21,Vietnam Posts and Telecommunications(VNPT),63,60
262,ip,spam,spam_ip,active,113.181.216.85,low,gov,23,2021-03-21,Vietnam Posts and Telecommunications(VNPT),91,60
263,ip,spam,spam_ip,active,125.235.227.122,low,gov,22,2021-03-21,Viettel Group,85,60
264,ip,spam,spam_ip,active,115.76.71.70,low,gov,25,2021-03-21,Viettel Group,97,60
265,ip,spam,spam_ip,active,123.22.57.31,low,gov,16,2021-03-21,Vietnam Posts and Telecommunications(VNPT),61,60
266,ip,spam,spam_ip,active,171.240.40.178,low,gov,23,2021-03-21,Viettel Group,92,60
267,ip,spam,spam_ip,active,14.169.158.211,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
268,ip,spam,spam_ip,active,14.250.156.132,low,gov,23,2021-03-21,Vietnam Posts And Telecommunications Group,91,60
269,ip,spam,spam_ip,active,113.188.51.142,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),96,60
270,ip,spam,spam_ip,active,58.186.126.96,low,gov,25,2021-03-21,FPT Telecom Company,99,60
271,ip,spam,spam_ip,active,171.224.217.5,low,gov,23,2021-03-21,Viettel Group,92,60
272,ip,spam,spam_ip,active,123.20.176.255,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
273,ip,spam,spam_ip,active,42.113.0.128,low,gov,25,2021-03-21,FPT Telecom Company,99,60
274,ip,spam,spam_ip,active,14.183.103.133,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),85,60
275,ip,spam,spam_ip,active,171.245.59.248,low,gov,25,2021-03-21,Viettel Group,100,60
276,ip,spam,spam_ip,active,14.180.224.45,low,gov,22,2021-03-21,Vietnam Posts And Telecommunications Group,86,60
277,ip,spam,spam_ip,active,14.186.154.178,low,gov,21,2021-03-21,Vietnam Posts and Telecommunications(VNPT),81,60
278,ip,spam,spam_ip,active,116.96.89.106,low,gov,22,2021-03-21,Viettel Group,86,60
279,ip,spam,spam_ip,active,14.177.129.35,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
280,ip,spam,spam_ip,active,113.172.134.37,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
281,ip,spam,spam_ip,active,14.233.52.36,low,gov,23,2021-03-21,Vietnam Posts and Telecommunications(VNPT),92,60
282,ip,spam,spam_ip,active,14.163.209.110,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
283,ip,spam,spam_ip,active,123.21.164.59,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),98,60
284,ip,spam,spam_ip,active,14.169.191.169,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),99,60
285,ip,spam,spam_ip,active,222.252.38.225,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),97,60
286,ip,spam,spam_ip,active,118.68.175.2,low,gov,25,2021-03-21,FPT Telecom Company,99,60
287,ip,spam,spam_ip,active,14.227.81.178,low,gov,10,2021-03-21,Vietnam Posts And Telecommunications Group,40,60
288,ip,spam,spam_ip,active,42.117.111.243,low,gov,25,2021-03-21,FPT Telecom Company,99,60
289,ip,spam,spam_ip,active,123.20.63.30,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
290,ip,spam,spam_ip,active,58.186.99.7,low,gov,25,2021-03-21,FPT Telecom Company,99,60
291,ip,spam,spam_ip,active,113.182.191.49,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),95,60
292,ip,spam,spam_ip,active,123.21.1.66,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),97,60
293,ip,spam,spam_ip,active,14.169.141.159,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),97,60
294,ip,spam,spam_ip,active,171.224.85.57,low,gov,25,2021-03-21,Viettel Group,97,60
295,ip,spam,spam_ip,active,14.170.249.189,low,gov,16,2021-03-21,Vietnam Posts and Telecommunications(VNPT),61,60
296,ip,spam,spam_ip,active,14.231.211.173,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),87,60
297,ip,spam,spam_ip,active,42.118.218.93,low,gov,25,2021-03-21,FPT Telecom Company,99,60
298,ip,spam,spam_ip,active,123.16.118.20,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
299,ip,spam,spam_ip,active,222.252.51.168,low,gov,16,2021-03-21,Vietnam Posts and Telecommunications(VNPT),63,60
300,ip,spam,spam_ip,active,27.73.75.101,low,gov,25,2021-03-21,Viettel Group,97,60
301,ip,spam,spam_ip,active,123.21.30.170,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),99,60
302,ip,spam,spam_ip,active,14.232.230.19,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
303,ip,spam,spam_ip,active,42.113.164.54,low,gov,25,2021-03-21,FPT Telecom Company,99,60
304,ip,spam,spam_ip,active,14.250.19.140,low,gov,11,2021-03-21,Vietnam Posts And Telecommunications Group,41,60
305,ip,spam,spam_ip,active,171.246.132.167,low,gov,25,2021-03-21,Viettel Group,98,60
306,ip,spam,spam_ip,active,123.21.219.195,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
307,ip,spam,spam_ip,active,171.236.139.50,low,gov,25,2021-03-21,Viettel Group,97,60
308,ip,spam,spam_ip,active,14.162.130.110,low,gov,19,2021-03-21,Vietnam Posts and Telecommunications(VNPT),76,60
309,ip,spam,spam_ip,active,45.122.255.65,low,gov,24,2021-03-21,Hai Phong Brand - CMC Telecommunication Infrastruc,95,60
310,ip,spam,spam_ip,active,14.167.226.126,low,gov,17,2021-03-21,Vietnam Posts and Telecommunications(VNPT),67,60
311,ip,spam,spam_ip,active,222.254.95.52,low,gov,19,2021-03-21,Vietnam Posts and Telecommunications(VNPT),73,60
312,ip,spam,spam_ip,active,116.108.111.197,low,gov,25,2021-03-21,Viettel Corporation,100,60
313,ip,spam,spam_ip,active,113.180.168.116,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),94,60
314,ip,spam,spam_ip,active,14.232.182.14,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
315,ip,spam,spam_ip,active,113.178.61.96,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
316,ip,spam,spam_ip,active,116.98.230.252,low,gov,25,2021-03-21,Viettel Corporation,97,60
317,ip,spam,spam_ip,active,117.5.152.78,low,gov,25,2021-03-21,Viettel Group,100,60
318,ip,spam,spam_ip,active,27.71.122.49,low,gov,25,2021-03-21,Viettel Group,100,60
319,ip,spam,spam_ip,active,42.118.145.109,low,gov,23,2021-03-21,FPT Telecom Company,91,60
320,ip,spam,spam_ip,active,14.254.130.246,low,gov,7,2021-03-21,Vietnam Posts And Telecommunications Group,28,60
321,ip,spam,spam_ip,active,123.20.24.67,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),98,60
322,ip,spam,spam_ip,active,123.24.128.74,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
323,ip,spam,spam_ip,active,27.66.217.82,low,gov,25,2021-03-21,Viettel Group,100,60
324,ip,spam,spam_ip,active,123.21.211.114,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
325,ip,spam,spam_ip,active,14.236.160.162,low,gov,23,2021-03-21,Vietnam Posts and Telecommunications(VNPT),92,60
326,ip,spam,spam_ip,active,117.6.3.246,low,gov,25,2021-03-21,Viettel Group,97,60
327,ip,spam,spam_ip,active,123.28.214.219,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),86,60
